PID | PPID | Nome do Programa
2245 | 1204 | ibus-x11
2261 | 1204 | VBoxClient
2263 | 2261 | VBoxClient
2268 | 1204 | VBoxClient
2270 | 2268 | VBoxClient
2278 | 1204 | VBoxClient
2279 | 2278 | VBoxClient
2398 | 1359 | update-notifier
2432 | 1388 | Discord
2437 | 2432 | Discord
2438 | 2432 | Discord
2440 | 2438 | Discord
2454 | 1204 | chrome_crashpad
2468 | 2437 | Discord
2484 | 2432 | Discord
2492 | 1388 | firefox
2604 | 2432 | Discord
2697 | 2432 | Discord
2728 | 2492 | Socket
2751 | 2492 | Privileged
2835 | 1204 | snap
3047 | 2492 | WebExtensions
3208 | 2492 | Isolated
3536 | 2492 | Isolated
3625 | 1257 | gvfsd-http
3806 | 2 | kworker/0:0-events
3864 | 2492 | Isolated
3928 | 2492 | Isolated
3977 | 2492 | Isolated
3997 | 2 | kworker/1:2-events
4074 | 1204 | code
4076 | 4074 | code
4077 | 4074 | code
4089 | 1204 | chrome_crashpad
4126 | 4074 | code
4156 | 4077 | code
4194 | 4076 | code
4216 | 4074 | code
4226 | 4074 | code
4227 | 4074 | code
4263 | 4226 | code
4299 | 4216 | cpptools
4385 | 4216 | code
4440 | 2 | kworker/u8:1-events_unbound
4450 | 1204 | nautilus
4478 | 1204 | gnome-terminal-
4496 | 4478 | bash
4512 | 2 | kworker/2:2-cgroup_destroy
4548 | 1204 | cpptools-srv
4633 | 1204 | przombies
4634 | 2 | kworker/3:2-mm_percpu_wq
4674 | 2 | kworker/u8:3-events_unbound
4703 | 4478 | bash
4821 | 2492 | Web
4916 | 2492 | Web
4936 | 2492 | RDD
4937 | 2492 | Utility
4986 | 2492 | Web
5229 | 1204 | cpptools-srv
5291 | 1204 | zombies
5292 | 5291 | zombies
5299 | 1204 | przombies
==========================================
PID | PPID | Nome do Programa
==========================================
1 | 0 | systemd
2 | 0 | kthreadd
3 | 2 | rcu_gp
4 | 2 | rcu_par_gp
5 | 2 | slub_flushwq
6 | 2 | netns
8 | 2 | kworker/0:0H-events_highpri
10 | 2 | mm_percpu_wq
11 | 2 | rcu_tasks_kthread
